Index,V1,V2,V3
1,-0.109,53.5,53.4
2,0,53.4,53.1
3,0.178,53.1,52.7
4,0.339,52.7,52.4
5,0.373,52.4,52.2
6,0.441,52.2,52
7,0.461,52,52
8,0.348,52,52.4
9,0.127,52.4,53
10,-0.18,53,54
11,-0.588,54,54.9
12,-1.055,54.9,56
13,-1.421,56,56.8
14,-1.52,56.8,56.8
15,-1.302,56.8,56.4
16,-0.814,56.4,55.7
17,-0.475,55.7,55
18,-0.193,55,54.3
19,0.088,54.3,53.2
20,0.435,53.2,52.3
21,0.771,52.3,51.6
22,0.866,51.6,51.2
23,0.875,51.2,50.8
24,0.891,50.8,50.5
25,0.987,50.5,50
26,1.263,50,49.2
27,1.775,49.2,48.4
28,1.976,48.4,47.9
29,1.934,47.9,47.6
30,1.866,47.6,47.5
31,1.832,47.5,47.5
32,1.767,47.5,47.6
33,1.608,47.6,48.1
34,1.265,48.1,49
35,0.79,49,50
36,0.36,50,51.1
37,0.115,51.1,51.8
38,0.088,51.8,51.9
39,0.331,51.9,51.7
40,0.645,51.7,51.2
41,0.96,51.2,50
42,1.409,50,48.3
43,2.67,48.3,47
44,2.834,47,45.8
45,2.812,45.8,45.6
46,2.483,45.6,46
47,1.929,46,46.9
48,1.485,46.9,47.8
49,1.214,47.8,48.2
50,1.239,48.2,48.3
51,1.608,48.3,47.9
52,1.905,47.9,47.2
53,2.023,47.2,47.2
54,1.815,47.2,48.1
55,0.535,48.1,49.4
56,0.122,49.4,50.6
57,0.009,50.6,51.5
58,0.164,51.5,51.6
59,0.671,51.6,51.2
60,1.019,51.2,50.5
61,1.146,50.5,50.1
62,1.155,50.1,49.8
63,1.112,49.8,49.6
64,1.121,49.6,49.4
65,1.223,49.4,49.3
66,1.257,49.3,49.2
67,1.157,49.2,49.3
68,0.913,49.3,49.7
69,0.62,49.7,50.3
70,0.255,50.3,51.3
71,-0.28,51.3,52.8
72,-1.08,52.8,54.4
73,-1.551,54.4,56
74,-1.799,56,56.9
75,-1.825,56.9,57.5
76,-1.456,57.5,57.3
77,-0.944,57.3,56.6
78,-0.57,56.6,56
79,-0.431,56,55.4
80,-0.577,55.4,55.4
81,-0.96,55.4,56.4
82,-1.616,56.4,57.2
83,-1.875,57.2,58
84,-1.891,58,58.4
85,-1.746,58.4,58.4
86,-1.474,58.4,58.1
87,-1.201,58.1,57.7
88,-0.927,57.7,57
89,-0.524,57,56
90,0.04,56,54.7
91,0.788,54.7,53.2
92,0.943,53.2,52.1
93,0.93,52.1,51.6
94,1.006,51.6,51
95,1.137,51,50.5
96,1.198,50.5,50.4
97,1.054,50.4,51
98,0.595,51,51.8
99,-0.08,51.8,52.4
100,-0.314,52.4,53
101,-0.288,53,53.4
102,-0.153,53.4,53.6
103,-0.109,53.6,53.7
104,-0.187,53.7,53.8
105,-0.255,53.8,53.8
106,-0.229,53.8,53.8
107,-0.007,53.8,53.3
108,0.254,53.3,53
109,0.33,53,52.9
110,0.102,52.9,53.4
111,-0.423,53.4,54.6
112,-1.139,54.6,56.4
113,-2.275,56.4,58
114,-2.594,58,59.4
115,-2.716,59.4,60.2
116,-2.51,60.2,60
117,-1.79,60,59.4
118,-1.346,59.4,58.4
119,-1.081,58.4,57.6
120,-0.91,57.6,56.9
121,-0.876,56.9,56.4
122,-0.885,56.4,56
123,-0.8,56,55.7
124,-0.544,55.7,55.3
125,-0.416,55.3,55
126,-0.271,55,54.4
127,0,54.4,53.7
128,0.403,53.7,52.8
129,0.841,52.8,51.6
130,1.285,51.6,50.6
131,1.607,50.6,49.4
132,1.746,49.4,48.8
133,1.683,48.8,48.5
134,1.485,48.5,48.7
135,0.993,48.7,49.2
136,0.648,49.2,49.8
137,0.577,49.8,50.4
138,0.577,50.4,50.7
139,0.632,50.7,50.9
140,0.747,50.9,50.7
141,0.9,50.7,50.5
142,0.993,50.5,50.4
143,0.968,50.4,50.2
144,0.79,50.2,50.4
145,0.399,50.4,51.2
146,-0.161,51.2,52.3
147,-0.553,52.3,53.2
148,-0.603,53.2,53.9
149,-0.424,53.9,54.1
150,-0.194,54.1,54
151,-0.049,54,53.6
152,0.06,53.6,53.2
153,0.161,53.2,53
154,0.301,53,52.8
155,0.517,52.8,52.3
156,0.566,52.3,51.9
157,0.56,51.9,51.6
158,0.573,51.6,51.6
159,0.592,51.6,51.4
160,0.671,51.4,51.2
161,0.933,51.2,50.7
162,1.337,50.7,50
163,1.46,50,49.4
164,1.353,49.4,49.3
165,0.772,49.3,49.7
166,0.218,49.7,50.6
167,-0.237,50.6,51.8
168,-0.714,51.8,53
169,-1.099,53,54
170,-1.269,54,55.3
171,-1.175,55.3,55.9
172,-0.676,55.9,55.9
173,0.033,55.9,54.6
174,0.556,54.6,53.5
175,0.643,53.5,52.4
176,0.484,52.4,52.1
177,0.109,52.1,52.3
178,-0.31,52.3,53
179,-0.697,53,53.8
180,-1.047,53.8,54.6
181,-1.218,54.6,55.4
182,-1.183,55.4,55.9
183,-0.873,55.9,55.9
184,-0.336,55.9,55.2
185,0.063,55.2,54.4
186,0.084,54.4,53.7
187,0,53.7,53.6
188,0.001,53.6,53.6
189,0.209,53.6,53.2
190,0.556,53.2,52.5
191,0.782,52.5,52
192,0.858,52,51.4
193,0.918,51.4,51
194,0.862,51,50.9
195,0.416,50.9,52.4
196,-0.336,52.4,53.5
197,-0.959,53.5,55.6
198,-1.813,55.6,58
199,-2.378,58,59.5
200,-2.499,59.5,60
201,-2.473,60,60.4
202,-2.33,60.4,60.5
203,-2.053,60.5,60.2
204,-1.739,60.2,59.7
205,-1.261,59.7,59
206,-0.569,59,57.6
207,-0.137,57.6,56.4
208,-0.024,56.4,55.2
209,-0.05,55.2,54.5
210,-0.135,54.5,54.1
211,-0.276,54.1,54.1
212,-0.534,54.1,54.4
213,-0.871,54.4,55.5
214,-1.243,55.5,56.2
215,-1.439,56.2,57
216,-1.422,57,57.3
217,-1.175,57.3,57.4
218,-0.813,57.4,57
219,-0.634,57,56.4
220,-0.582,56.4,55.9
221,-0.625,55.9,55.5
222,-0.713,55.5,55.3
223,-0.848,55.3,55.2
224,-1.039,55.2,55.4
225,-1.346,55.4,56
226,-1.628,56,56.5
227,-1.619,56.5,57.1
228,-1.149,57.1,57.3
229,-0.488,57.3,56.8
230,-0.16,56.8,55.6
231,-0.007,55.6,55
232,-0.092,55,54.1
233,-0.62,54.1,54.3
234,-1.086,54.3,55.3
235,-1.525,55.3,56.4
236,-1.858,56.4,57.2
237,-2.029,57.2,57.8
238,-2.024,57.8,58.3
239,-1.961,58.3,58.6
240,-1.952,58.6,58.8
241,-1.794,58.8,58.8
242,-1.302,58.8,58.6
243,-1.03,58.6,58
244,-0.918,58,57.4
245,-0.798,57.4,57
246,-0.867,57,56.4
247,-1.047,56.4,56.3
248,-1.123,56.3,56.4
249,-0.876,56.4,56.4
250,-0.395,56.4,56
251,0.185,56,55.2
252,0.662,55.2,54
253,0.709,54,53
254,0.605,53,52
255,0.501,52,51.6
256,0.603,51.6,51.6
257,0.943,51.6,51.1
258,1.223,51.1,50.4
259,1.249,50.4,50
260,0.824,50,50
261,0.102,50,52
262,0.025,52,54
263,0.382,54,55.1
264,0.922,55.1,54.5
265,1.032,54.5,52.8
266,0.866,52.8,51.4
267,0.527,51.4,50.8
268,0.093,50.8,51.2
269,-0.458,51.2,52
270,-0.748,52,52.8
271,-0.947,52.8,53.8
272,-1.029,53.8,54.5
273,-0.928,54.5,54.9
274,-0.645,54.9,54.9
275,-0.424,54.9,54.8
276,-0.276,54.8,54.4
277,-0.158,54.4,53.7
278,-0.033,53.7,53.3
279,0.102,53.3,52.8
280,0.251,52.8,52.6
281,0.28,52.6,52.6
282,0,52.6,53
283,-0.493,53,54.3
284,-0.759,54.3,56
285,-0.824,56,57
286,-0.74,57,58
287,-0.528,58,58.6
288,-0.204,58.6,58.5
289,0.034,58.5,58.3
290,0.204,58.3,57.8
291,0.253,57.8,57.3
292,0.195,57.3,57
